,Model,Precision,Recall,Site,Threshold
126,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.9470899470899471,0.23740053050397877,TEAK,0.6000000000000001
127,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.9814814814814815,0.07029177718832891,TEAK,0.7000000000000001
128,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,1.0,0.009283819628647215,TEAK,0.8
129,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.0,0.0,TEAK,0.9
130,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.36845983787767134,0.6631299734748011,TEAK,0.0
131,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.5911270983213429,0.6538461538461539,TEAK,0.1
132,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.7395498392282959,0.610079575596817,TEAK,0.2
133,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.8057692307692308,0.5557029177718833,TEAK,0.30000000000000004
134,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.85,0.473474801061008,TEAK,0.4
135,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.8970099667774086,0.35809018567639256,TEAK,0.5
136,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.9518716577540107,0.23607427055702918,TEAK,0.6000000000000001
137,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.9615384615384616,0.06631299734748011,TEAK,0.7000000000000001
138,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,1.0,0.007957559681697613,TEAK,0.8
139,/orange/ewhite/b.weinstein/retinanet/20190722_131707/resnet50_40.h5,0.0,0.0,TEAK,0.9
140,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.3620564808110065,0.6631299734748011,TEAK,0.0
141,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.5855106888361045,0.6538461538461539,TEAK,0.1
142,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.7287066246056783,0.6127320954907162,TEAK,0.2
143,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.8034026465028355,0.5636604774535809,TEAK,0.30000000000000004
144,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.8470588235294118,0.47745358090185674,TEAK,0.4
145,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.8810289389067524,0.363395225464191,TEAK,0.5
146,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.9421052631578948,0.23740053050397877,TEAK,0.6000000000000001
147,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.9649122807017544,0.07294429708222812,TEAK,0.7000000000000001
148,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,1.0,0.007957559681697613,TEAK,0.8
149,/orange/ewhite/b.weinstein/retinanet/20190722_132610/resnet50_40.h5,0.0,0.0,TEAK,0.9
150,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.4332874828060523,0.6441717791411042,MLBS,0.0
151,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.5343642611683849,0.6359918200408998,MLBS,0.1
152,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.6674876847290641,0.5541922290388548,MLBS,0.2
153,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.7491638795986622,0.45807770961145194,MLBS,0.30000000000000004
154,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.8260869565217391,0.1554192229038855,MLBS,0.4
155,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.875,0.014314928425357873,MLBS,0.5
156,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.0,0.0,MLBS,0.6000000000000001
157,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.0,0.0,MLBS,0.7000000000000001
158,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.0,0.0,MLBS,0.8
159,/orange/ewhite/b.weinstein/retinanet/20190712_035528/resnet50_40.h5,0.0,0.0,MLBS,0.9
160,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.41444270015698587,0.5398773006134969,MLBS,0.0
161,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.4858757062146893,0.5276073619631901,MLBS,0.1
162,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.6497005988023952,0.4437627811860941,MLBS,0.2
163,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.765625,0.10020449897750511,MLBS,0.30000000000000004
164,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,1.0,0.002044989775051125,MLBS,0.4
165,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.0,0.0,MLBS,0.5
166,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.0,0.0,MLBS,0.6000000000000001
167,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.0,0.0,MLBS,0.7000000000000001
168,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.0,0.0,MLBS,0.8
169,/orange/ewhite/b.weinstein/retinanet/20190722_155909/resnet50_40.h5,0.0,0.0,MLBS,0.9
170,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.3784977908689249,0.5255623721881391,MLBS,0.0
171,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.44153577661431065,0.5173824130879345,MLBS,0.1
172,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.5876288659793815,0.4662576687116564,MLBS,0.2
173,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.6927710843373494,0.23517382413087934,MLBS,0.30000000000000004
174,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.6666666666666666,0.00408997955010225,MLBS,0.4
175,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.0,0.0,MLBS,0.5
176,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.0,0.0,MLBS,0.6000000000000001
177,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.0,0.0,MLBS,0.7000000000000001
178,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.0,0.0,MLBS,0.8
179,/orange/ewhite/b.weinstein/retinanet/20190722_155609/resnet50_40.h5,0.0,0.0,MLBS,0.9
180,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.4108983799705449,0.5705521472392638,MLBS,0.0
181,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.48324514991181655,0.5603271983640081,MLBS,0.1
182,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.6573033707865169,0.4785276073619632,MLBS,0.2
183,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.7295597484276729,0.23721881390593047,MLBS,0.30000000000000004
184,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.875,0.028629856850715747,MLBS,0.4
185,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,1.0,0.002044989775051125,MLBS,0.5
186,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.0,0.0,MLBS,0.6000000000000001
187,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.0,0.0,MLBS,0.7000000000000001
188,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.0,0.0,MLBS,0.8
189,/orange/ewhite/b.weinstein/retinanet/20190722_155009/resnet50_40.h5,0.0,0.0,MLBS,0.9
190,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.3757396449704142,0.5194274028629857,MLBS,0.0
191,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.43275862068965515,0.5132924335378323,MLBS,0.1
192,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.5782828282828283,0.46830265848670755,MLBS,0.2
193,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.6633165829145728,0.26993865030674846,MLBS,0.30000000000000004
194,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.8,0.0081799591002045,MLBS,0.4
195,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.0,0.0,MLBS,0.5
196,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.0,0.0,MLBS,0.6000000000000001
197,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.0,0.0,MLBS,0.7000000000000001
198,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.0,0.0,MLBS,0.8
199,/orange/ewhite/b.weinstein/retinanet/20190722_154409/resnet50_40.h5,0.0,0.0,MLBS,0.9
